DATE_TIME,OBSERVATORY_NAME,SENSOR_TYPE,MINIMUM_TEMPERATURE,MAXIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MINIMUM_HUMIDITY,MAXIMUM_HUMIDITY,AVERAGE_HUMIDITY,MINIMUM_WIND,MAXIMUM_WIND,AVERAGE_WIND,MINIMUM_DIRECTIONOFWIND,MAXIMUM_DIRECTIONOFWIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_PRECIPITATION,MAXIMUM_PRECIPITATION,AVERAGE_PRECIPITATION,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,MAXIMUM_FELT_TEMPERATURE,AVERAGE_FELT_TEMPERATURE
2020-05-31 01:00:00,RIVA_TUNEL_K,ICING_SENSOR,10.89,11.73,11.35542,90.6,92.5,91.58136,0,1.291,0.52063,0,352,219.98305,0,0,0,28.9,28.9,28.9,11.49,14.15,13.10525
2020-05-30 02:00:00,SELIMPASA_KAVAKLI,ICING_SENSOR,8.19,9.49,8.99,100,100,100,0.69,1.89,1.19667,1,354,54.15,0,0,0,12.8,13.6,13.00167,7.81,10.77,9.482
2020-05-03 20:00:00,SAMANDIRA,AUTOMATED_WEATHER_SENSOR,14.8,14.8,14.8,82,82,82,0,0,0,0,0,0,0,0,0,-99,-99,-99,14.8,14.8,14.8
2020-05-28 07:00:00,YSS_KOPRUSU,ICING_SENSOR,15.06,16.1,15.49932,74.72,84.3,79.99814,1.559,5.726,3.5581,198,355,285.91525,0,0,0,18.2,19.8,19.00847,14.83,17.02,15.59017
2020-05-31 08:00:00,BASAKSEHIR,ICING_SENSOR,20.58,21.31,20.9,47.26,57.62,51.53333,2.104,6.826,4.0646,159,276,211.55,0,0,0,37.9,42.5,40.17667,21.33,22.4,21.82333
2020-05-31 06:00:00,PENDIK_OMERL_BARAJI,AUTOMATED_WEATHER_SENSOR,20.2,21.8,20.81333,49,56,52.71667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2020-05-30 11:00:00,FLORYA,AUTOMATED_WEATHER_SENSOR,20.9,21.7,21.3,66,71,68.68333,0.9,2.9,2.09333,27,281,213.23333,0,0,0,-99,-99,-99,22.18,23.29,22.72983
2020-05-28 03:00:00,MASLAK_ITU,ICING_SENSOR,11.18,11.45,11.30583,95.3,96.2,95.90333,0,2.05,0.72567,233,314,251.11667,0.34,0.43,0.3895,-99,-99,-99,11.24,13.02,12.05783
2020-05-03 15:00:00,HADIMKOY,AUTOMATED_WEATHER_SENSOR,15.34,17.26,16.45,78.78,91.4,85.69364,1.868,4.027,3.18409,3,356,282.09091,0,0,0,20.1,24.2,22.23636,15.12,18.17,16.70818
2020-05-20 11:00:00,YSS_KOPRUSU,ICING_SENSOR,20.24,23.12,22.1335,70.16,82.2,74.2545,0.718,6.077,3.9265,7,349,137.76667,0,0,0,37.8,39.4,38.51167,20.74,24.89,23.304
2020-05-03 01:00:00,SILIVRI_MGM,AUTOMATED_WEATHER_SENSOR,12.5,12.8,12.63077,100,100,100,1.6,2.4,2.10385,84,135,117.76923,0,0,0,-99,-99,-99,12.47,13.21,12.74308
